No,Sort order,Foster parent,Complete?,Name,Tags,Alt. title,Description,Purpose,Works well with… (related to another pattern),Example source / authors,Example title,Example URL,Example Image URL,Additional contents ,
10,2,benjamin,x,Incorporating the audience,"empathy,engagement,framing",Adressing the Audience,Audience becomes part of the narrative.,"Increase empathy, facilitate personal comparisons. Helps make the data and information more personally relevant. To allow reader to use herself as measuring device.",6,Ubisoft,Collapse,http://collapse-thedivisiongame.ubi.com/,img/collapse.png,,
8,2,benjamin,x,Repetition,"flow,argument",Again and again,"A phenomenon is re-presented multiple times with changes to the main variable/dimension (the data) or the time frame or the animation pattern (see the example) while other elements of the story don’t change. Note: this could be like running multiple simulations with the data to see which is most effective (and in this case, the story would be more reader driven)",To show that the same phenomenon happens over and over again. It also strengthens the narrative through rhythm. Establishing a constant reference frame can help to emphasize change and differences. ,8,Bloomberg,What's really warming the world?,http://www.bloomberg.com/graphics/2015-whats-warming-the-world/,img/again.png,,
1,2,benjamin,x,Juxtaposition,framing,Side-by-Side,Showing two or more complementary visualizations (pictures) juxtaposed.,"Compare cases or samples, allows to highlight contrast, difference, absense of difference, change over time. Allows for individual exploration of (minor) differences.","32,1",David McCandless,Billion Dollar Gram,http://www.informationisbeautiful.net/visualizations/the-billion-dollar-gram/,http://infobeautiful4.s3.amazonaws.com/2015/05/1276_billion_dollar_o_gram.png,,
6,2,benjamin,x,Breaking the fourth wall,"framing,empathy",,Subject unexpectedly addresses the viewer.    ,"To make a direct connection with viewer; to demonstrate the artificiality of the presentation; to challenge the objectivity of the observation. To make it clear that this is one interpretation. Surprise, so attention-getting.",10,Arte,Netwars,        http://future.arte.tv/de/netwars-krieg-im-netz-1/out-ctrl-die-web-doku ,https://lh5.googleusercontent.com/-QJ_FF0K5DhM/UxR1GKlXK-I/AAAAAAAAKP4/LJ5576e2KkY/w710-h400-no/house_of_cards.jpeg,"https://en.wikipedia.org/wiki/Fourth_wall

The fourth wall is the imaginary ""wall"" at the front of the stage in a traditional three-walled box set in a proscenium theatre, through which the audience sees the action in the world of the play.[1][2] The concept is usually attributed to the philosopher, critic and dramatist Denis Diderot.[3] The term itself was used by Molière.[4] The fourth wall illusion is often associated with naturalist theatre of the mid 19th-century, and especially with the innovations of the French director André Antoine.[4]",
4,2,Jeremy,x,Humans behind the dots,empathy,,"Show that there are concrete entities (e.g., a human being) behind, or at the heart of the data.","Make abstract data more relatable, and possibly establish an emotional connection between the viewer and the fate of the entities.","4,13,2",Stamen,Iraq war maps for CNN,http://edition.cnn.com/SPECIALS/war.casualties/index.html,http://b.fastcompany.net/multisite_files/codesign/imagecache/1280/home-away-infographic-feat.jpg,,
12,2,Jeremy,x,Make a guess,"engagement,framing",,Enable the viewer to guess what insight they might find. If no interaction: interrupt the narrative with a question directly addressed to the viewer and provide the answer after. If interaction: promt the user with an entry form.,"Stimulates the viewer's curiosity, and possibly leads to a game-lke experience. To engage the reader in causal reasoning about the phenomenon.",08/09/2016,New York Times graphics,You draw it — how family income affects childrens' college chances,http://www.nytimes.com/interactive/2015/05/28/upshot/you-draw-it-how-family-income-affects-childrens-college-chances.html,img/you-draw.png,,
9,2,Jeremy,x,Rhetorical question,"framing,argument",,Title the piece using a question that makes a point.,Implicitely drives the viewer to the takeaway of a more open ended/exploratory piece.,,New York Times graphics,Can you live on the minimum wage?,http://www.nytimes.com/interactive/2014/02/09/opinion/minimum-wage.html?_r=0,img/rhetoric.png,Not sure this is a good example. It's not a rhetocical question in the example.,
5,2,mo,x,Familiar Setting,"empathy,framing",,Embed the entry point of a narrative in an environment which the viewer is familiar with.,To lower the entry barrier and make information personally relatable.,"3,9,17,22",OECD,Regional Well-Being,http://www.oecdregionalwellbeing.org ,http://well-formed-data.net/wp-content/uploads/2014/06/rwb-03.png,,
24,2,mo,x,Call to action,engagement,,Start with presentation of problem that needs solving or situation that needs changing. End with call to action.,Provides motivation; offers outline for narrative; gives sense of purpose.,,Angela Morelli,Virtual water,http://www.angelamorelli.com/water/,img/call-to-action.png,,
34,2,mo,x,Gradual visual reveal,flow,,Use visual hierarchy to control sequence of perception of individual elements,Lets the story unfold in the viewer's mind while they read the graphic. to chunk the material to make it easier to absorb,,New York Times graphics,"How Gun Traffickers Get
Around State Gun Laws",http://www.nytimes.com/interactive/2015/11/12/us/gun-traffickers-smuggling-state-gun-laws.html ,img/reveal.png,,
3,2,mo,x,Defamiliarization,framing,,"Present something known and familiar in a novel, unexpected way",To confront and challenge viewers’ expectations; to highlight and question implicit assumptions. To force thinking differently about a well-known case.,5,Oxford cartographers,"Hobo-Dyer Equal Area Map, upside down",http://odtmaps.com/detail.asp?product_id=HDP-11x17,http://i.imgur.com/whX1Llw.jpg,The term “defamiliarization” was first coined in 1917 by Viktor Shklovsky in his essay “Art as Device” (alternate translation: “Art as Technique”) . Shklovsky invented the term as a means to “distinguish poetic from practical language on the basis of the former’s perceptibility”. (source: https://en.wikipedia.org/wiki/Defamiliarization),
7,2,mo,x,Convention breaking,framing,,"Use or establish a graphical convention, then break it.",To engender surprise; to show extra-ordinary nature of data; to question the use of the convention; challenge assumptions.,,Reuters,The Glass Ceiling Persists,http://blogs.reuters.com/data-dive/2013/12/10/gms-new-ceo-is-another-small-crack-in-the-glass-ceiling/,img/conventions.png,"http://visualoop.com/blog/32299/portfolio-of-the-week-simon-scarr, img/iraq.png",
13,2,Yuri,x,Speeding up,flow,,Increase speed over time,"To give the feeling of acceleration, increased momentum, urgency. To transition from the individual to the group; to surprise with change in perspective; to exploit the learned interpretation of the early slow depictions.",,Periscopic,US Gun Deaths,http://guns.periscopic.com/?year=2013,img/deaths.gif,,
2,2,Yuri,x,Concretize,"argument,framing",,"Isotype. Provide known, concrete reference frame","Make it easier to get a grasp on large, otherwise abstract numbers. To increase memorability.",2,Demonocracy,US Debt Ceiling Visualized in $100 Bills,http://demonocracy.info/infographics/usa/us_debt/us_debt.html,https://vis4.net/blog/wp-content/uploads/2012/10/isotype-great-war1.png,,
17,2,Yuri is contemplating this one...,,Users find themselves,empathy,,Device used to help anchor the viewer in the piece.,Helps make the data and information more personally relevant. To allow reader to use herself as measuring device.,,BBC ,Which sport would work for you? ,http://www.bbc.com/news/uk-19050139 ,img/findyourself.png,,http://www.bbc.com/news/world-15391515
26,0,mo,x,Meaningful use of space,framing,,"Use space and direction of movement to reinforce positive or negative feelings. Frequently, up = good; down = bad; left = retreat; right = progress.",To support metaphor; to allow viewer to construct their own metaphor more easily; to take advantage of convention to ease understanding.,,Guardian,"How China’s economic slowdown could weigh on the rest of the world.
",http://www.theguardian.com/world/ng-interactive/2015/aug/26/china-economic-slowdown-world-imports ,img/physical.png,,
30,1,benjamin,x,Silent data,framing,Hidden data,The deliberate choice of not showing (hiding) certain data (like pauses in music?),emphasizing aspects with de-emphasizing some data,,,,,img/silent.png,"Talk at OpenVisConf 2014: ""The design of nothing"": http://www.visualisingdata.com/2014/04/talk-slides-from-openvisconf-2014-the-design-of-nothing/",
14,1,Jeremy,,Switch from mimesis to diegesis,,Show or tell,"Switch visual emphasis from text to chart and vice-versa, either when a chart is only used as an illustration of the text, or when the text is only used to annotate the chart.","Helps the viewer detect what the main source of information is, i.e., the text or the graphic.",,,,http://www.slideteam.net/media/catalog/product/cache/2/thumbnail/543x403/c68698d68bdc5cacf3dcc75ce675b615/1/2/1214_human_brain_pie_chart_for_business_result_analysis_powerpoint_slide_Slide01.jpg,,,
37,1,Jo,,Dark Inversion,,,"[Term from Christopher Booker's 'The Seven Basic Plots'] ""An honourable man turns bad"". Rather than seeing a protagonist develop over a story emerging transformed as a better person, we see the opposite. Honour is gradually corrupted over the lifetime of the story. (e.g. Hamlet, Breaking Bad, The Godfather etc.)","To evoke a strong emotional response to seeing loss of ideal, corruption of intent etc.[I have an idea to illustrate this: Bar chart of different nations' pledges for international aid. Rather than simply contrast those figures with actual aid donated (which is considerably less in many cases), we see those bars 'crumble' to their new lower height. We make the corruption of the ideal explicit in graphical terms. Can use ideas similar to 'sanddance' and visual sedimentation

[I have an idea to illustrate this: Bar chart of different nations' pledges for international aid. Rather than simply contrast those figures with actual aid donated (which is considerably less in many cases), we see those bars 'crumble' to their new lower height. We make the corruption of the ideal explicit in graphical terms. Can use ideas similar to 'sanddance' and visual sedimentation",,,,,,,
11,1,Paolo,,The Columbo howdunit,flow,,"Present outcome first, then structure narrative around how we arrived at the outcome.",To focus on process not outcome; to emphasise causality and explanation.,,Bloomberg,What's really warming the world?,http://www.bloomberg.com/graphics/2015-whats-warming-the-world/,        ,,
21,1,Paolo,,Redefine perspective,"framing,flow",,start depiction at one scale until then rapidly or unexpectedly change scale.    ,Emphasise difference in magnitude; to demonstrate the irrelevance of small change; to surprise;,,,"Charles and Ray Eames, Powers of Ten http://www.eamesoffice.com/the-work/powers-of-ten/

 http://www.gicentre.net/blog/2013/11/24/risk-cycling-and-denominator-neglect ",,        ,,
32,1,Paolo,,The antagonist,mental model,,"Two opposite “versions” of the story are represented, pushing the user to position herself (choose one of them) or creating a tension between the two poles. The title can help in reinforcing the rhetorics, by using for example “vs.” or “this or that”","Asking the user to take a position or at least to compare the two “versions” forces a deeper understanding of the data and can more easily lead to a conclusion.

(warning!) the opposition could lead the user to take a position a-priori, ideologically, not based on the data.",1,,,,img/antagonism.png,,
16,1,Steven,,Argumentation/debate,engagement,,Engage user in dialogue with opposing views/conclusions,promote critical evaluation of alternatives,,NYT,"Different headlines for same data (unemployment projections?) - story, still looking for vis",http://www.theguardian.com/us-news/2015/jun/20/charleston-south-carolina-shooting-gun-control-reform-myths,,,
20,0,,,The weight of tension,empathy,,Put the weight of the built up tension on the shoulders of the viewer ,To leave a lasting impression; to motivate progression in the narrative,,,,,,,
18,0,,,Difficult moral choice,"empathy,framing",,Solomon’s choice,Evaluation of tradeoffs; to make abstract real.,,Wilson Center,Budget Hero,https://www.wilsoncenter.org/budget-hero,,,
22,0,,,Flatter the audience,engagement,,,,,BBC,Which sport would work for you? ,http://www.bbc.com/news/uk-19050139,,,
23,0,,,The quest,engagement,,"Statement of clear goal, document of how barriers were overcome to achieve it.            ",Provides motivation for advancing the narrative; signals an end point to the narrative;,,,Budget Hero,https://www.wilsoncenter.org/budget-hero ,,,
25,0,,,Level up,engagement,,"Using gaming approaches, over time, reveal new elements of the visualization (could be new representation or new interaction possibilities)",To provide a motivation to continue; to give sense of reward; to ease the introduction of complexity.,,,Fold it,https://fold.it/portal/  ,        ,,"Passing record holders on the One Year Time Trial http://gicentre.org/oytt/

"
31,0,,,Enactment / performance / histrionic / physical echo of data space,engagement,,Human narrator uses body language to reinforce spatial mapping of data space.,Embeds abstract idea in real space; repetition for emphasis;,,Hans Rosling,Joy of Stats – “What a catastrophe”,https://youtu.be/jbkSRLYSojo?t=1m45s ,,,from cinema: http://www.lavideofilmmaker.com/filmmaking/film-editing-tips.html
33,0,,,Make the user work,engagement,,"The more people invest, the more valuable the result becomes ",        ,,,"?possibly the payoff at the end of this post? : http://www.gicentre.net/blog/2013/11/24/risk-cycling-and-denominator-neglect (the ‘work’ here is in the scrolling to the bottom, not necessarily intellectual work). ",,,,
15,0,,,Sherlock Holmes,flow,,Put the the user in the investigator’s shoes. Note (Jeremy): this could be like the Again and Again if it is delivered as a simulation platform,To encourage deductive thinking; to generate a sense of ownership of the findings on the part of the viewer; to set an explicit purpose.,,Bloomberg,What's really warming the world?,http://www.bloomberg.com/graphics/2015-whats-warming-the-world/,         ,,
28,0,,,The journey,flow,"Same subject, changed surroundings",Focus on a single subject but change its surroundings.  ,Emphasises common connections between apparently different scenarios; anchor change to ease understanding when showing new perspectives.,,,“Red book” ,,,,
29,0,,,Freeze frame,flow,Bullet time,Stopping or slowing down of the rate at which new data are presented.,To place focus on a particular aspect of the story; to encourage reflection;,,Hans Rosling,Joy of Stats,https://youtu.be/jbkSRLYSojo?t=2m7s ,,,See also “Metaphors we live by”
35,0,,,Stepwise reveal,flow,,"Explicit stepwise reveal, e.g. through paging, animated transitions",,,,,http://www.nytimes.com/interactive/2014/11/23/us/north-dakota-oil-boom-downside.html?_r=0  ,,,
19,0,,,Unreliable narrator,framing,,Contradictions or increasing lack of credibility in depiction emerges slowly forcing viewer to question the reliability of what they see.,To encourage critical evaluation; to demonstrate lack of objectivity in depiction; to surprise.,,,"Maybe by highlighting shortcomings of the data?

Not quite visualization (although visual): http://www.mcsweeneys.net/articles/an-interactive-guide-to-ambiguous-grammar (do read from top down to the very end).",,        ,,
